Question,Answer
Details regarding project P-SO-IZ0-006,The project named emergency assistance to victims of drought 2014 happening in somalia with code P-SO-IZ0-006 was approved on 09-Feb-2015 with the current project status as Completed
Details regarding project P-Z1-KF0-044,The project named crisis response: ta to african union to support countries most affected with ebola epidemic happening in multinational with code P-Z1-KF0-044 was approved on 26-Jan-2015 with the current project status as Completed
Details regarding project P-ET-HB0-002,The project named capacity building for financial inclusion in ethiopia (m-birr – mobile money service) happening in ethiopia with code P-ET-HB0-002 was approved on 26-Jan-2015 with the current project status as Completed
Details regarding project P-LR-HB0-001,The project named technical assistance to access bank liberia happening in liberia with code P-LR-HB0-001 was approved on 26-Jan-2015 with the current project status as Completed
Details regarding project P-TG-I00-006,The project named the kara and lome market reconstruction and traders support project (parmco) happening in togo with code P-TG-I00-006 was approved on 26-Jan-2015 with the current project status as Completed
Details regarding project P-CM-I00-001,The project named projet d'aide d'urgence humanitaire aux refugies au cameroun happening in cameroon with code P-CM-I00-001 was approved on 13-Jan-2015 with the current project status as Completed
Details regarding project P-MG-IBE-003,The project named aide humanitaire d'urgence pour lutter contre l'epidemie de la peste happening in madagascar with code P-MG-IBE-003 was approved on 23-Dec-2014 with the current project status as Closed
Details regarding project P-AO-AAZ-002,The project named cabinda province agriculture development study happening in angola with code P-AO-AAZ-002 was approved on 22-Dec-2014 with the current project status as Closed
Details regarding project P-SC-EA0-005,The project named integrated sanitation master plan happening in seychelles with code P-SC-EA0-005 was approved on 22-Dec-2014 with the current project status as Completed
Details regarding project P-ZA-DC0-001,The project named transnet expansion corporate loan ii happening in south africa with code P-ZA-DC0-001 was approved on 18-Dec-2014 with the current project status as Ongoing
Details regarding project P-BI-KA0-005,The project named programme d'appui a la gouvernance economique phase i (parge i) happening in burundi with code P-BI-KA0-005 was approved on 18-Dec-2014 with the current project status as Completed
Details regarding project P-CG-IAE-001,The project named projet de développement des compétences et des ressources humaines (pdcrh) happening in congo cg with code P-CG-IAE-001 was approved on 18-Dec-2014 with the current project status as Ongoing
Details regarding project P-Z1-DB0-103,The project named ci - programme d’aménagement de routes et de facilitation des transports - union du fleuve mano happening in multinational with code P-Z1-DB0-103 was approved on 18-Dec-2014 with the current project status as Ongoing
Details regarding project P-Z1-DB0-161,The project named liberia - programme d’aménagement de routes et de facilitation des transports - union du fleuve m happening in multinational with code P-Z1-DB0-161 was approved on 18-Dec-2014 with the current project status as Ongoing
Details regarding project P-Z1-DB0-162,The project named guinee- programme d’aménagement de routes et de facilitation des transports - union du fleuve man happening in multinational with code P-Z1-DB0-162 was approved on 18-Dec-2014 with the current project status as Ongoing
Details regarding project P-ZM-AA0-021,The project named lake tanganyika development proj happening in zambia with code P-ZM-AA0-021 was approved on 18-Dec-2014 with the current project status as Ongoing
Details regarding project P-CD-DB0-009,The project named projet d’amenagement de la rn1 (tshikapa-mbuji mayi) et de construction des infrastructures rural happening in dem rep congo with code P-CD-DB0-009 was approved on 17-Dec-2014 with the current project status as Ongoing
Details regarding project P-ML-KA0-003,The project named paugre - programme d'appui a la gouvernance et a la reprise economique happening in mali with code P-ML-KA0-003 was approved on 17-Dec-2014 with the current project status as Completed
Details regarding project P-Z1-CZ0-013,The project named réhabilitation et renforcement de la résilience des systèmes du bassin du lac tchad_cameroun happening in multinational with code P-Z1-CZ0-013 was approved on 17-Dec-2014 with the current project status as Completed
Details regarding project P-Z1-CZ0-014,The project named réhabilitation et renforcement de la résilience des systèmes du bassin du lac tchad_niger happening in multinational with code P-Z1-CZ0-014 was approved on 17-Dec-2014 with the current project status as Ongoing
Details regarding project P-Z1-CZ0-015,The project named réhabilitation et renforcement de la résilience des systèmes du bassin du lac tchad_rca happening in multinational with code P-Z1-CZ0-015 was approved on 17-Dec-2014 with the current project status as Ongoing
Details regarding project P-Z1-CZ0-016,The project named réhabilitation et renforcement de la résilience des systèmes du bassin du lac tchad_tchad happening in multinational with code P-Z1-CZ0-016 was approved on 17-Dec-2014 with the current project status as Ongoing
Details regarding project P-CI-H00-002,The project named support to entrepreneurship development happening in côte d'ivoire with code P-CI-H00-002 was approved on 16-Dec-2014 with the current project status as Completed
Details regarding project P-MA-HA0-004,The project named ligne de crédit à attijariwafa bank happening in morocco with code P-MA-HA0-004 was approved on 15-Dec-2014 with the current project status as Approved
Details regarding project P-NG-HAA-004,The project named development bank of nigeria (dbn) happening in nigeria with code P-NG-HAA-004 was approved on 15-Dec-2014 with the current project status as Ongoing
Details regarding project P-Z1-FA0-075,The project named kariba dam rehabilitation happening in multinational with code P-Z1-FA0-075 was approved on 15-Dec-2014 with the current project status as Ongoing
Details regarding project P-Z1-FA0-085,The project named kariba dam rehabilitation project zim happening in multinational with code P-Z1-FA0-085 was approved on 15-Dec-2014 with the current project status as Ongoing
Details regarding project P-GQ-K00-007,The project named projet d'appui technique à la promotion du secteur privé happening in eq guinea with code P-GQ-K00-007 was approved on 12-Dec-2014 with the current project status as Ongoing
Details regarding project P-ZA-EAZ-004,The project named social franchising operations & maintenance of school sanitation facilities & the demonstration of f happening in south africa with code P-ZA-EAZ-004 was approved on 12-Dec-2014 with the current project status as Ongoing
Details regarding project P-MG-KF0-002,The project named assistance technique pour le costing du plan national de developpement (pnd) au mep happening in madagascar with code P-MG-KF0-002 was approved on 10-Dec-2014 with the current project status as Completed
Details regarding project P-UG-AAZ-002,The project named matip 2- markets and agricultural trade improvement programme - project 2 (matip-2) happening in uganda with code P-UG-AAZ-002 was approved on 10-Dec-2014 with the current project status as Ongoing
Details regarding project P-SZ-FF0-001,The project named energy sector technical assistance program happening in swaziland with code P-SZ-FF0-001 was approved on 08-Dec-2014 with the current project status as Completed
Details regarding project P-MA-FF0-002,The project named complexe solaire ouarzazate - phase ii - centrale noor ii happening in morocco with code P-MA-FF0-002 was approved on 03-Dec-2014 with the current project status as Ongoing
Details regarding project P-MA-FF0-003,The project named complexe solaire ouarzazate - phase ii - centrale noor iii happening in morocco with code P-MA-FF0-003 was approved on 03-Dec-2014 with the current project status as Ongoing
Details regarding project P-CD-C00-037,The project named working with communities to reduce deforestation and alleviate poverty in the virunga-hoyo region happening in dem rep congo with code P-CD-C00-037 was approved on 28-Nov-2014 with the current project status as Completed
Details regarding project P-MR-IAZ-002,The project named projet d’appui à la formation et l’emploi des jeunes (pafej) happening in mauritania with code P-MR-IAZ-002 was approved on 28-Nov-2014 with the current project status as Ongoing
Details regarding project P-CD-KF0-007,The project named projet d'appui au recensement general de la population et au renforcement des bases de donnees socia happening in dem rep congo with code P-CD-KF0-007 was approved on 26-Nov-2014 with the current project status as Completed
Details regarding project P-CM-DB0-012,The project named programme d'appui au secteur des transports: phase1: amenagmnt de la route batchienga-ntui-yoko-lena happening in cameroon with code P-CM-DB0-012 was approved on 26-Nov-2014 with the current project status as Ongoing
Details regarding project P-MG-AAB-003,The project named projet de rehabilitation et d'extension de bas mangoky- phase ii happening in madagascar with code P-MG-AAB-003 was approved on 26-Nov-2014 with the current project status as Ongoing
Details regarding project P-TN-AA0-013,The project named projet de developpement agricole integre (pdai) de gabes ii happening in tunisia with code P-TN-AA0-013 was approved on 26-Nov-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-033,The project named ethiopia-drslp ii happening in multinational with code P-Z1-AAZ-033 was approved on 26-Nov-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-034,The project named eritrea-drslp ii happening in multinational with code P-Z1-AAZ-034 was approved on 26-Nov-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-035,The project named sudan-drslp ii happening in multinational with code P-Z1-AAZ-035 was approved on 26-Nov-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-036,The project named somalia-drslp ii happening in multinational with code P-Z1-AAZ-036 was approved on 26-Nov-2014 with the current project status as Ongoing
Details regarding project P-Z1-K00-060,The project named multinational program for statistical capacity building for managing for development results (mfdr) happening in multinational with code P-Z1-K00-060 was approved on 26-Nov-2014 with the current project status as Ongoing
Details regarding project P-Z1-EAZ-041,The project named feasibility study of the nyimur multipurpose water resources project happening in multinational with code P-Z1-EAZ-041 was approved on 21-Nov-2014 with the current project status as Ongoing
Details regarding project P-EG-KF0-005,The project named economic summit: assistance to mic happening in egypt with code P-EG-KF0-005 was approved on 19-Nov-2014 with the current project status as Completed
Details regarding project P-KE-FA0-010,The project named kenya - last mile connectivity project happening in kenya with code P-KE-FA0-010 was approved on 19-Nov-2014 with the current project status as Ongoing
Details regarding project P-RW-DB0-014,"The project named projet d'appui au secteur des transports-amenagement de la route base-gicumbi-rukomo-nyagatare, lot1 happening in rwanda with code P-RW-DB0-014 was approved on 19-Nov-2014 with the current project status as Ongoing"
Details regarding project P-NG-HB0-006,The project named trade mispricing the hidden drainage of resources out of nigeria (mic-taf-grant) happening in nigeria with code P-NG-HB0-006 was approved on 18-Nov-2014 with the current project status as Completed
Details regarding project P-Z1-DC0-017,The project named trans-maghreb railway happening in multinational with code P-Z1-DC0-017 was approved on 18-Nov-2014 with the current project status as Ongoing
Details regarding project P-Z1-K00-062,The project named promoting intra-african investment and support to reg happening in multinational with code P-Z1-K00-062 was approved on 18-Nov-2014 with the current project status as Completed
Details regarding project P-MR-K00-014,The project named projet d'appui a la gouvernance pour la promotion d'une croissance inclusive happening in mauritania with code P-MR-K00-014 was approved on 17-Nov-2014 with the current project status as Ongoing
Details regarding project P-SC-K00-007,"The project named ta for development of ppp legal, regulatory and operational framework happening in seychelles with code P-SC-K00-007 was approved on 14-Nov-2014 with the current project status as Completed"
Details regarding project P-KM-K00-006,The project named programme d'appui aux reformes du secteur de l'energie happening in comoros with code P-KM-K00-006 was approved on 13-Nov-2014 with the current project status as Completed
Details regarding project P-KE-HAB-003,The project named equity bank (kenya) limited happening in kenya with code P-KE-HAB-003 was approved on 05-Nov-2014 with the current project status as Ongoing
Details regarding project P-MG-K00-010,The project named programme d'urgence a la relance economique (pure) happening in madagascar with code P-MG-K00-010 was approved on 05-Nov-2014 with the current project status as Completed
Details regarding project P-MG-D00-003,The project named appui au ministere des travaux publics pour 5ème congres malgache de la route et des transports happening in madagascar with code P-MG-D00-003 was approved on 04-Nov-2014 with the current project status as Completed
Details regarding project P-SC-GB0-003,The project named development of quality of service standards and regulations happening in seychelles with code P-SC-GB0-003 was approved on 03-Nov-2014 with the current project status as Completed
Details regarding project P-TN-AA0-014,The project named don mic pour la preparation du pdai de zaghoaun happening in tunisia with code P-TN-AA0-014 was approved on 27-Oct-2014 with the current project status as Ongoing
Details regarding project P-KE-F00-001,The project named adf prg menengai happening in kenya with code P-KE-F00-001 was approved on 22-Oct-2014 with the current project status as Approved
Details regarding project P-CD-DB0-010,The project named lot 3 - projet d’amenagement de la route batshamba-tshikapa happening in dem rep congo with code P-CD-DB0-010 was approved on 22-Oct-2014 with the current project status as Ongoing
Details regarding project P-ML-FZ0-003,The project named projet d'appui a la promotion des energies renouvelables happening in mali with code P-ML-FZ0-003 was approved on 22-Oct-2014 with the current project status as Ongoing
Details regarding project P-GM-DB0-005,The project named gambia bridge ancilary studies happening in gambia with code P-GM-DB0-005 was approved on 19-Oct-2014 with the current project status as Ongoing
Details regarding project P-CV-KA0-005,The project named programme d'appui a la gouvernance des entreprises publiques et a la promotion de l'investissement 2 happening in cape verde with code P-CV-KA0-005 was approved on 15-Oct-2014 with the current project status as Completed
Details regarding project P-CV-KF0-002,The project named support for promoting economic efficiency and investment through privatization and public private pa happening in cape verde with code P-CV-KF0-002 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-017,The project named multinational- programme de renforcement de la résilience à l’insécurité alimentaire et nutrit happening in multinational with code P-Z1-AAZ-017 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-018,The project named mali_programme de renforcement de la résilience à l’insécurité alimentaire et nutritionnelle happening in multinational with code P-Z1-AAZ-018 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-019,The project named burkina faso _programme de renforcement de la résilience à l’insécurité alimentaire et nutriti happening in multinational with code P-Z1-AAZ-019 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-020,The project named gambia:project 1program on building resilience against food and nutritional insecurity in sahel-p2rs happening in multinational with code P-Z1-AAZ-020 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-021,The project named mauritanie_programme de renforcement de la résilience à l’insécurité alimentaire et nutritionn happening in multinational with code P-Z1-AAZ-021 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-022,The project named niger_programme de renforcement de la résilience à l’insécurité alimentaire et nutritionnelle happening in multinational with code P-Z1-AAZ-022 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-024,The project named tchad_programme de renforcement de la résilience à l’insécurité alimentaire et nutritionnelle happening in multinational with code P-Z1-AAZ-024 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-HAA-059,The project named east african development bank - line of credit happening in multinational with code P-Z1-HAA-059 was approved on 15-Oct-2014 with the current project status as Ongoing
Details regarding project P-GA-K00-006,The project named projet appui chambre de commerce du gabon happening in gabon with code P-GA-K00-006 was approved on 14-Oct-2014 with the current project status as Completed
Details regarding project P-TG-KF0-007,The project named projet d'appui a la mobilisation des ressources et au renforcement des capacites happening in togo with code P-TG-KF0-007 was approved on 09-Oct-2014 with the current project status as Ongoing
Details regarding project P-MZ-EAZ-002,The project named feasibility studies for building climate resilience of limpopo basin in mozambique happening in mozambique with code P-MZ-EAZ-002 was approved on 03-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-IB0-016,The project named east africa's centres of excellence for skills and tertiary education in biomedical sciences phase 1 happening in multinational with code P-Z1-IB0-016 was approved on 03-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-IB0-023,The project named east africa centers of excellence kenya happening in multinational with code P-Z1-IB0-023 was approved on 03-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-IB0-024,The project named east africa centers of excellence uganda happening in multinational with code P-Z1-IB0-024 was approved on 03-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-IB0-025,The project named east africa centers of excellence rwanda happening in multinational with code P-Z1-IB0-025 was approved on 03-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-HB0-038,"The project named comesa – microfinance training course for policy and development, september 2014 happening in multinational with code P-Z1-HB0-038 was approved on 03-Oct-2014 with the current project status as Completed"
Details regarding project P-MA-HZ0-011,The project named prog dappui au develop du sect finance (padesfi iii) happening in morocco with code P-MA-HZ0-011 was approved on 01-Oct-2014 with the current project status as Completed
Details regarding project P-SO-EAZ-001,The project named building resilience to water stress in somaliland –boosting investments for development of water r happening in somalia with code P-SO-EAZ-001 was approved on 01-Oct-2014 with the current project status as Ongoing
Details regarding project P-Z1-KZ0-021,The project named ebola sector budget support- fight back programme (efbp) - liberia happening in multinational with code P-Z1-KZ0-021 was approved on 01-Oct-2014 with the current project status as Completed
Details regarding project P-Z1-KZ0-022,The project named ebola fight back programme cote d'ivoire happening in multinational with code P-Z1-KZ0-022 was approved on 01-Oct-2014 with the current project status as Completed
Details regarding project P-Z1-KZ0-023,The project named ebola fight back programme guinea happening in multinational with code P-Z1-KZ0-023 was approved on 01-Oct-2014 with the current project status as Completed
Details regarding project P-Z1-KZ0-024,The project named ebola fight back programme sierra leone happening in multinational with code P-Z1-KZ0-024 was approved on 01-Oct-2014 with the current project status as Completed
Details regarding project P-NG-HB0-005,The project named lapo microfinance limited happening in nigeria with code P-NG-HB0-005 was approved on 01-Oct-2014 with the current project status as Ongoing
Details regarding project P-SS-AA0-002,The project named emergency humanitarian assistance to the conflict-affected vulnerable population happening in south sudan with code P-SS-AA0-002 was approved on 26-Sep-2014 with the current project status as Completed
Details regarding project P-BI-DB0-018,The project named projet d’amenagement et de bitumage de la rn 18 nyakararo-mwaro–gitega phase i happening in burundi with code P-BI-DB0-018 was approved on 24-Sep-2014 with the current project status as Ongoing
Details regarding project P-CD-IBE-001,The project named lutte contre l’epidemie de fievre hemorragique ebola dans province equateur happening in dem rep congo with code P-CD-IBE-001 was approved on 22-Sep-2014 with the current project status as Completed
Details regarding project P-BJ-D00-006,The project named projet transport urbain a parakou happening in benin with code P-BJ-D00-006 was approved on 19-Sep-2014 with the current project status as Ongoing
Details regarding project P-MZ-K00-010,The project named economic governance and inclusive growth program phase i happening in mozambique with code P-MZ-K00-010 was approved on 19-Sep-2014 with the current project status as Completed
Details regarding project P-NG-HZ0-004,The project named africa sme program loc - ab microfinance bank nigeria limited happening in nigeria with code P-NG-HZ0-004 was approved on 18-Sep-2014 with the current project status as Approved
Details regarding project P-AO-K00-006,The project named institutional capacity building for private sector development project happening in angola with code P-AO-K00-006 was approved on 17-Sep-2014 with the current project status as Ongoing
Details regarding project P-BF-KA0-009,The project named programme d’appui a la promotion du secteur prive (papsp) happening in burkina faso with code P-BF-KA0-009 was approved on 17-Sep-2014 with the current project status as Completed
Details regarding project P-BF-KF0-009,The project named projet d’appui a la transformation de l’economie et a la creation de l’emploi (patece) happening in burkina faso with code P-BF-KF0-009 was approved on 17-Sep-2014 with the current project status as Ongoing
Details regarding project P-ML-AA0-024,The project named projet de renforcement de la sécurité alimentaire et nutritionnelle dans la région de koulikoro happening in mali with code P-ML-AA0-024 was approved on 17-Sep-2014 with the current project status as Ongoing
Details regarding project P-Z1-KF0-043,The project named technical assistance and capacity building to recsa happening in multinational with code P-Z1-KF0-043 was approved on 12-Sep-2014 with the current project status as Completed
Details regarding project P-ET-E00-007,"The project named support to the one water, sanitation and hygiene national program (ownp) happening in ethiopia with code P-ET-E00-007 was approved on 08-Sep-2014 with the current project status as Ongoing"
Details regarding project P-GN-IBE-001,The project named emergency assistance to fight the ebola virus disease epidemic in guinea happening in guinea with code P-GN-IBE-001 was approved on 18-Aug-2014 with the current project status as Completed
Details regarding project P-GN-IBE-002,The project named strengthening west africa’s public health systems response to the ebola crisis (swaphs) guinea happening in guinea with code P-GN-IBE-002 was approved on 18-Aug-2014 with the current project status as Completed
Details regarding project P-LR-IBE-001,The project named emergency assistance to fight the ebola virus disease epidemic in liberia happening in liberia with code P-LR-IBE-001 was approved on 18-Aug-2014 with the current project status as Completed
Details regarding project P-LR-IBE-002,The project named strengthening west africa’s public health systems response to the ebola crisis (swaphs) liberia happening in liberia with code P-LR-IBE-002 was approved on 18-Aug-2014 with the current project status as Completed
Details regarding project P-NG-IBE-002,The project named emergency assistance to fight the ebola virus disease epidemic in nigeria happening in nigeria with code P-NG-IBE-002 was approved on 18-Aug-2014 with the current project status as Completed
Details regarding project P-SL-IBE-002,The project named emergency assistance to fight the ebola virus disease epidemic in sierra leone happening in sierra leone with code P-SL-IBE-002 was approved on 18-Aug-2014 with the current project status as Closed
Details regarding project P-SL-IBE-003,The project named strengthening west africa’s public health systems response to the ebola crisis (swaphs) sierra leo happening in sierra leone with code P-SL-IBE-003 was approved on 18-Aug-2014 with the current project status as Completed
Details regarding project P-Z1-IBE-010,The project named multinational assistance ebola (who) project to strengthen west africa’s public health systems happening in multinational with code P-Z1-IBE-010 was approved on 18-Aug-2014 with the current project status as Closed
Details regarding project P-NG-EAZ-002,The project named preparation of komadugu-yobe basin strategic development plan happening in nigeria with code P-NG-EAZ-002 was approved on 08-Aug-2014 with the current project status as Completed
Details regarding project P-ZA-EAZ-003,The project named operationalizing community-driven multiple-use water services project happening in south africa with code P-ZA-EAZ-003 was approved on 22-Jul-2014 with the current project status as Ongoing
Details regarding project P-NG-IA0-003,The project named emergency assistance to chibok girls school in borno state happening in nigeria with code P-NG-IA0-003 was approved on 21-Jul-2014 with the current project status as Completed
Details regarding project P-TN-D00-003,The project named etude du plan directeur national des transports a l'horizon 2040 happening in tunisia with code P-TN-D00-003 was approved on 14-Jul-2014 with the current project status as Completed
Details regarding project P-TN-FD0-006,The project named south tunisian gaz pipeline - tunisia happening in tunisia with code P-TN-FD0-006 was approved on 26-Jun-2014 with the current project status as Ongoing
Details regarding project P-SN-DB0-018,The project named dakar toll highway - phase 2 happening in senegal with code P-SN-DB0-018 was approved on 26-Jun-2014 with the current project status as Ongoing
Details regarding project P-CF-KZ0-002,The project named programme d’urgence d’appui a la sortie de crise et à la reprise economique (puascre) happening in centrafrique with code P-CF-KZ0-002 was approved on 25-Jun-2014 with the current project status as Completed
Details regarding project P-CV-KF0-004,The project named enquete sur les depenses et les revenus des menages happening in cape verde with code P-CV-KF0-004 was approved on 25-Jun-2014 with the current project status as Completed
Details regarding project P-CV-KF0-005,The project named appui au recensement agricole happening in cape verde with code P-CV-KF0-005 was approved on 25-Jun-2014 with the current project status as Completed
Details regarding project P-MU-FA0-002,The project named st. louis power station redevelopment happening in mauritius with code P-MU-FA0-002 was approved on 25-Jun-2014 with the current project status as Completed
Details regarding project P-BI-FA0-100,The project named hydroenergy jiji mulembwe happening in burundi with code P-BI-FA0-100 was approved on 23-Jun-2014 with the current project status as Ongoing
Details regarding project P-GN-KA0-005,The project named programme d'appui aux reformes economiques et financieres phase ii happening in guinea with code P-GN-KA0-005 was approved on 23-Jun-2014 with the current project status as Completed
Details regarding project P-TD-AA0-023,The project named aide d'urgence aux tchadiens rapatries de la rca happening in chad with code P-TD-AA0-023 was approved on 23-Jun-2014 with the current project status as Completed
Details regarding project P-ZA-FF0-003,The project named xina solar one project happening in south africa with code P-ZA-FF0-003 was approved on 23-Jun-2014 with the current project status as Ongoing
Details regarding project P-Z1-DB0-153,The project named eac rehabilitation selected road sc trb happening in multinational with code P-Z1-DB0-153 was approved on 20-Jun-2014 with the current project status as Ongoing
Details regarding project P-SZ-E00-005,The project named ezulwini sustainable water and sanitation service delivery happening in swaziland with code P-SZ-E00-005 was approved on 18-Jun-2014 with the current project status as Ongoing
Details regarding project P-CI-I00-003,The project named programme d'appui au renforcement de l'inclusion et de la cohesion sociale happening in côte d'ivoire with code P-CI-I00-003 was approved on 13-Jun-2014 with the current project status as Completed
Details regarding project P-TD-DB0-011,The project named projet de bitumage de la route kyabe-singako happening in chad with code P-TD-DB0-011 was approved on 13-Jun-2014 with the current project status as Ongoing
Details regarding project P-NG-FD0-003,The project named dangote industries limited happening in nigeria with code P-NG-FD0-003 was approved on 13-Jun-2014 with the current project status as Ongoing
Details regarding project P-SC-KB0-001,The project named msme development project happening in seychelles with code P-SC-KB0-001 was approved on 03-Jun-2014 with the current project status as Completed
Details regarding project P-NG-A00-007,The project named asset mapping of economic opportunities in nigeria-mic grant happening in nigeria with code P-NG-A00-007 was approved on 30-May-2014 with the current project status as Closed
Details regarding project P-SN-DB0-020,The project named projet d’appui au secteur transport : réhabilitation de la route dinguiraye –nioro-keur ayib happening in senegal with code P-SN-DB0-020 was approved on 28-May-2014 with the current project status as Ongoing
Details regarding project P-SZ-DB0-012,The project named manzini-mbadlane highway project happening in swaziland with code P-SZ-DB0-012 was approved on 28-May-2014 with the current project status as Ongoing
Details regarding project P-UG-DB0-022,The project named road sector support project v happening in uganda with code P-UG-DB0-022 was approved on 28-May-2014 with the current project status as Ongoing
Details regarding project P-Z1-HAA-055,The project named afreximbank trade finance line of credit happening in multinational with code P-Z1-HAA-055 was approved on 28-May-2014 with the current project status as Ongoing
Details regarding project P-Z1-HAA-056,The project named afreximbank risk participation agreement happening in multinational with code P-Z1-HAA-056 was approved on 28-May-2014 with the current project status as Completed
Details regarding project P-NG-HAB-016,The project named stanbic ibtc bank plc happening in nigeria with code P-NG-HAB-016 was approved on 27-May-2014 with the current project status as Ongoing
Details regarding project P-Z1-AA0-112,The project named agra technical assistance fapa grant happening in multinational with code P-Z1-AA0-112 was approved on 19-May-2014 with the current project status as Completed
Details regarding project P-GA-KF0-001,The project named projet d'appui à la mise en place d'un dispositif d'incubateurs d'entreprises au gabon happening in gabon with code P-GA-KF0-001 was approved on 14-May-2014 with the current project status as Completed
Details regarding project P-AO-FA0-002,The project named power sector reform support program happening in angola with code P-AO-FA0-002 was approved on 13-May-2014 with the current project status as Completed
Details regarding project P-SL-K00-007,The project named pfm improvement and consolidation (pfmic) happening in sierra leone with code P-SL-K00-007 was approved on 08-May-2014 with the current project status as Completed
Details regarding project P-Z1-HAB-021,The project named union de banques arabes et francaises happening in multinational with code P-Z1-HAB-021 was approved on 07-May-2014 with the current project status as Ongoing
Details regarding project P-RW-IZ0-003,The project named seep ii happening in rwanda with code P-RW-IZ0-003 was approved on 07-May-2014 with the current project status as Completed
Details regarding project P-SL-KA0-013,"The project named inclusive economic management program, phase i happening in sierra leone with code P-SL-KA0-013 was approved on 05-May-2014 with the current project status as Closed"
Details regarding project P-BI-F00-003,"The project named projet plan directeur de production, transport et distribution de l'energie electrique happening in burundi with code P-BI-F00-003 was approved on 30-Apr-2014 with the current project status as Completed"
Details regarding project P-MW-E00-006,The project named sustainable rural water and sanitation infrastructure for improved and health and livelihoods happening in malawi with code P-MW-E00-006 was approved on 30-Apr-2014 with the current project status as Ongoing
Details regarding project P-GH-KB0-003,The project named ghana- msme business linkage program happening in ghana with code P-GH-KB0-003 was approved on 27-Apr-2014 with the current project status as Ongoing
Details regarding project P-SN-E00-007,The project named projet sectoriel eau & assainissement happening in senegal with code P-SN-E00-007 was approved on 23-Apr-2014 with the current project status as Ongoing
Details regarding project P-Z1-IBE-009,The project named assistance epidemie ebola regional emergency assist.combat evd gui-sen-civ-sl-lib-gbissau happening in multinational with code P-Z1-IBE-009 was approved on 23-Apr-2014 with the current project status as Completed
Details regarding project P-MU-EAZ-001,The project named technical assistance and capacity development for dam development happening in mauritius with code P-MU-EAZ-001 was approved on 22-Apr-2014 with the current project status as Completed
Details regarding project P-SO-KF0-005,The project named ta expert in aid coordination project happening in somalia with code P-SO-KF0-005 was approved on 17-Apr-2014 with the current project status as Closed
Details regarding project P-GM-IBC-002,The project named horizons clinic gambia happening in gambia with code P-GM-IBC-002 was approved on 16-Apr-2014 with the current project status as Approved
Details regarding project P-SC-IAD-003,The project named mic - support for the human resources development strategy and social impact assessment framework happening in seychelles with code P-SC-IAD-003 was approved on 15-Apr-2014 with the current project status as Completed
Details regarding project P-MZ-HAB-001,The project named africa sme program loc - mozabanco s.a mozambique happening in mozambique with code P-MZ-HAB-001 was approved on 11-Apr-2014 with the current project status as Ongoing
Details regarding project P-MR-EB0-005,The project named aide humanitaire d'urgence nouakchott happening in mauritania with code P-MR-EB0-005 was approved on 04-Apr-2014 with the current project status as Completed
Details regarding project P-BI-IZ0-003,The project named projet d'aide d’urgence aux victimes des inondations de la ville de bujumbura happening in burundi with code P-BI-IZ0-003 was approved on 02-Apr-2014 with the current project status as Completed
Details regarding project P-TZ-IAD-001,The project named support to technical vocational education and training and teacher education happening in tanzania with code P-TZ-IAD-001 was approved on 02-Apr-2014 with the current project status as Ongoing
Details regarding project P-NG-KF0-002,"The project named capacity development program for members of the nass committees on finance, appropriation members happening in nigeria with code P-NG-KF0-002 was approved on 28-Mar-2014 with the current project status as Completed"
Details regarding project P-NG-E00-007,The project named urban water reform & port harcourt wssp happening in nigeria with code P-NG-E00-007 was approved on 26-Mar-2014 with the current project status as Ongoing
Details regarding project P-NG-HAB-017,The project named zenith bank plc - loc iii happening in nigeria with code P-NG-HAB-017 was approved on 26-Mar-2014 with the current project status as Ongoing
Details regarding project P-ZM-AA0-019,The project named gafsp-agriculture productivity and market enhancement project (apmep) happening in zambia with code P-ZM-AA0-019 was approved on 26-Mar-2014 with the current project status as Ongoing
Details regarding project P-BJ-AA0-009,The project named programme d’urgence en faveur des communes de malanville et karimama affectees par les inondations happening in benin with code P-BJ-AA0-009 was approved on 19-Mar-2014 with the current project status as Completed
Details regarding project P-Z1-FAC-003,The project named north core 330kv transmission line happening in multinational with code P-Z1-FAC-003 was approved on 11-Mar-2014 with the current project status as Completed
